"Madrid, Retiro"

"Mes","T","TM","Tm","R","H","DR","DN","DT","DF","DH","DD","I",
"Enero","6.3","9.8","2.7","33","71","5.7","1.0","0.1","3.5","6.2","7.8","149",
"Febrero","7.9","12.0","3.7","34","65","5.2","1.3","0.1","2.2","3.0","6.9","158",
"Marzo","11.2","16.3","6.2","25","55","4.1","0.2","0.5","0.9","1.0","7.5","211",
"Abril","12.9","18.2","7.7","45","56","6.7","0.3","1.3","0.4","0.1","5.4","230",
"Mayo","16.7","22.2","11.3","50","53","7.3","0.0","2.9","0.1","0.0","4.6","268",
"Junio","22.2","28.2","16.1","21","44","3.4","0.0","2.8","0.0","0.0","9.4","315",
"Julio","25.6","32.1","19.0","12","38","1.7","0.0","2.0","0.0","0.0","17.5","355",
"Agosto","25.1","31.3","18.8","10","41","1.7","0.0","1.6","0.0","0.0","13.6","332",
"Septiembre","20.9","26.4","15.4","22","50","3.3","0.0","1.8","0.2","0.0","8.1","259",
"Octubre","15.1","19.4","10.7","60","64","6.9","0.0","1.0","0.8","0.0","6.3","-",
"Noviembre","9.9","13.5","6.3","58","71","6.5","0.1","0.1","2.3","0.9","7.1","144",
"Diciembre","6.9","10.0","3.6","51","74","6.8","0.6","0.1","4.6","4.5","6.9","124",
"Ańo","15.0","19.9","10.1","421","57","59.4","3.6","14.3","15.1","15.7","100.4","-",
